Region,MAE,RMSE,MAPE,R2
northern,2645.88,3368.94,5.17,0.897
western,2074.55,2669.78,3.45,0.8025
eastern,962.59,1187.95,4.57,0.8675
southern,2585.54,3463.34,5.28,0.7663
northeastern,128.13,164.4,5.7,0.8653
